week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,0,0
2010-08-16,0,0
2010-08-23,0,0
2010-08-30,0,0
2010-09-06,0,0
2010-09-13,0,0
2010-09-20,0,0
2010-09-27,0,0
2010-10-04,0,0
2010-10-11,0,0
2010-10-18,0,0
2010-10-25,0,0
2010-11-01,0,0
2010-11-08,0,0
2010-11-15,0,0
2010-11-22,0,0
2010-11-29,0,0
2010-12-06,0,0
2010-12-13,0,0
2010-12-20,0,0
2010-12-27,0,0
2011-01-03,0,0
2011-01-10,0,0
2011-01-17,0,0
2011-01-24,0,0
2011-01-31,0,0
2011-02-07,0,0
2011-02-14,0,0
2011-02-21,0,0
2011-02-28,0,0
2011-03-07,0,0
2011-03-14,0,0
2011-03-21,0,0
2011-03-28,0,0
2011-04-04,0,0
2011-04-11,0,0
2011-04-18,0,0
2011-04-25,0,0
2011-05-02,0,0
2011-05-09,0,0
2011-05-16,0,0
2011-05-23,0,0
2011-05-30,0,0
2011-06-06,0,0
2011-06-13,0,0
2011-06-20,0,0
2011-06-27,0,0
2011-07-04,0,0
2011-07-11,0,0
2011-07-18,0,0
2011-07-25,0,0
2011-08-01,0,0
2011-08-08,0,0
2011-08-15,1,0
2011-08-22,1,0
2011-08-29,1,0
2011-09-05,1,0
2011-09-12,1,0
2011-09-19,1,0
2011-09-26,1,0
2011-10-03,1,0
2011-10-10,2,0
2011-10-17,2,0
2011-10-24,2,0
2011-10-31,2,0
2011-11-07,2,0
2011-11-14,2,0
2011-11-21,2,0
2011-11-28,2,0
2011-12-05,2,0
2011-12-12,2,0
2011-12-19,2,0
2011-12-26,2,0
2012-01-02,2,0
2012-01-09,2,0
2012-01-16,2,0
2012-01-23,2,0
2012-01-30,2,0
2012-02-06,2,0
2012-02-13,2,0
2012-02-20,2,0
2012-02-27,2,0
2012-03-05,2,0
2012-03-12,2,0
2012-03-19,2,0
2012-03-26,2,0
2012-04-02,2,0
2012-04-09,2,0
2012-04-16,2,0
2012-04-23,2,0
2012-04-30,2,0
2012-05-07,2,0
2012-05-14,2,0
2012-05-21,2,0
2012-05-28,2,0
2012-06-04,2,0
2012-06-11,2,0
2012-06-18,2,0
2012-06-25,2,0
2012-07-02,2,0
2012-07-09,2,0
2012-07-16,2,0
2012-07-23,2,0
2012-07-30,2,0
2012-08-06,2,0
2012-08-13,3,0
2012-08-20,3,0
2012-08-27,4,0
2012-09-03,4,0
2012-09-10,4,0
2012-09-17,4,1
2012-09-24,4,1
2012-10-01,5,1
2012-10-08,5,1
2012-10-15,5,1
2012-10-22,5,1
2012-10-29,6,2
2012-11-05,6,2
2012-11-12,6,2
2012-11-19,6,6
2012-11-26,6,6
2012-12-03,6,6
2012-12-10,6,6
2012-12-17,6,6
2012-12-24,6,6
2012-12-31,6,6
2013-01-07,6,6
2013-01-14,6,6
2013-01-21,6,6
2013-01-28,6,6
2013-02-04,6,6
2013-02-11,6,6
2013-02-18,6,6
2013-02-25,6,6
2013-03-04,6,6
2013-03-11,6,6
2013-03-18,7,6
2013-03-25,7,6
2013-04-01,7,6
2013-04-08,7,6
2013-04-15,8,6
2013-04-22,8,6
2013-04-29,8,6
2013-05-06,8,6
2013-05-13,8,6
2013-05-20,8,6
2013-05-27,8,6
2013-06-03,9,6
2013-06-10,9,6
2013-06-17,9,6
2013-06-24,9,6
2013-07-01,9,6
2013-07-08,9,6
2013-07-15,9,6
2013-07-22,9,7
2013-07-29,9,7
2013-08-05,10,7
2013-08-12,10,7
2013-08-19,10,7
2013-08-26,10,7
2013-09-02,10,8
2013-09-09,10,8
2013-09-16,10,8
2013-09-23,10,8
2013-09-30,10,8
2013-10-07,10,8
2013-10-14,10,8
2013-10-21,10,8
2013-10-28,10,8
2013-11-04,10,8
2013-11-11,10,8
2013-11-18,10,8
2013-11-25,10,8
2013-12-02,10,8
2013-12-09,10,8
2013-12-16,10,8
2013-12-23,10,8
2013-12-30,10,8
2014-01-06,10,8
2014-01-13,10,8
2014-01-20,11,8
2014-01-27,11,8
2014-02-03,11,8
2014-02-10,11,8
2014-02-17,11,8
2014-02-24,11,8
2014-03-03,11,8
2014-03-10,11,9
2014-03-17,12,10
2014-03-24,15,11
2014-03-31,15,12
2014-04-07,16,13
2014-04-14,16,13
2014-04-21,16,14
2014-04-28,16,14
2014-05-05,16,14
2014-05-12,16,14
2014-05-19,16,14
2014-05-26,16,14
2014-06-02,16,14
2014-06-09,17,14
2014-06-16,18,15
2014-06-23,18,15
2014-06-30,18,15
2014-07-07,19,15
2014-07-14,19,15
2014-07-21,19,16
2014-07-28,20,16
2014-08-04,20,17
2014-08-11,21,17
2014-08-18,21,17
2014-08-25,22,18
2014-09-01,22,18
2014-09-08,22,18
2014-09-15,22,18
2014-09-22,22,18
2014-09-29,22,18
2014-10-06,22,18
2014-10-13,22,18
2014-10-20,22,19
2014-10-27,23,19
2014-11-03,23,19
2014-11-10,23,19
2014-11-17,23,19
2014-11-24,23,19
2014-12-01,23,20
2014-12-08,24,20
2014-12-15,27,20
2014-12-22,27,20
2014-12-29,29,24
2015-01-05,34,26
2015-01-12,34,30
2015-01-19,34,30
2015-01-26,34,31
2015-02-02,34,31
2015-02-09,35,33
2015-02-16,35,33
2015-02-23,35,33
2015-03-02,35,33
2015-03-09,36,33
2015-03-16,36,34
2015-03-23,36,34
2015-03-30,36,34
2015-04-06,36,34
2015-04-13,36,34
2015-04-20,36,34
2015-04-27,36,34
2015-05-04,37,34
2015-05-11,38,34
2015-05-18,38,35
2015-05-25,38,35
2015-06-01,38,35
2015-06-08,40,37
2015-06-15,40,37
2015-06-22,40,37
2015-06-29,40,37
2015-07-06,40,37
2015-07-13,40,37
2015-07-20,40,37
2015-07-27,40,37
2015-08-03,40,37
2015-08-10,41,37
2015-08-17,43,37
2015-08-24,43,37
2015-08-31,44,37
2015-09-07,44,37
2015-09-14,44,37
2015-09-21,44,37
2015-09-28,44,37
2015-10-05,44,37
2015-10-12,44,37
2015-10-19,44,37
2015-10-26,44,37
2015-11-02,44,37
2015-11-09,44,37
2015-11-16,47,37
2015-11-23,48,39
2015-11-30,49,39
2015-12-07,50,41
2015-12-14,50,41
2015-12-21,50,42
2015-12-28,51,42
2016-01-04,51,43
2016-01-11,51,43
2016-01-18,51,44
2016-01-25,52,44
2016-02-01,52,44
2016-02-08,52,44
2016-02-15,52,44
2016-02-22,52,46
2016-02-29,54,46
2016-03-07,54,46
2016-03-14,54,46
2016-03-21,55,46
2016-03-28,55,46
2016-04-04,56,46
2016-04-11,56,46
2016-04-18,56,46
2016-04-25,56,46
2016-05-02,56,46
2016-05-09,56,46
2016-05-16,56,46
2016-05-23,56,46
