week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,1,0
2010-03-01,1,0
2010-03-08,1,0
2010-03-15,1,0
2010-03-22,1,0
2010-03-29,1,0
2010-04-05,1,0
2010-04-12,1,0
2010-04-19,1,0
2010-04-26,2,0
2010-05-03,2,0
2010-05-10,2,0
2010-05-17,2,0
2010-05-24,2,0
2010-05-31,2,0
2010-06-07,3,0
2010-06-14,3,0
2010-06-21,3,0
2010-06-28,3,0
2010-07-05,4,0
2010-07-12,4,0
2010-07-19,4,0
2010-07-26,4,0
2010-08-02,4,0
2010-08-09,4,0
2010-08-16,4,0
2010-08-23,4,0
2010-08-30,4,0
2010-09-06,4,0
2010-09-13,4,0
2010-09-20,4,0
2010-09-27,4,0
2010-10-04,4,0
2010-10-11,4,0
2010-10-18,4,0
2010-10-25,4,0
2010-11-01,5,0
2010-11-08,6,1
2010-11-15,8,1
2010-11-22,8,3
2010-11-29,9,3
2010-12-06,11,3
2010-12-13,13,3
2010-12-20,13,3
2010-12-27,21,4
2011-01-03,23,8
2011-01-10,33,11
2011-01-17,34,14
2011-01-24,42,16
2011-01-31,44,16
2011-02-07,47,18
2011-02-14,48,23
2011-02-21,52,23
2011-02-28,52,24
2011-03-07,54,25
2011-03-14,55,30
2011-03-21,58,32
2011-03-28,68,33
2011-04-04,70,35
2011-04-11,71,37
2011-04-18,76,37
2011-04-25,79,37
2011-05-02,82,38
2011-05-09,86,38
2011-05-16,87,38
2011-05-23,88,39
2011-05-30,93,39
2011-06-06,95,40
2011-06-13,97,41
2011-06-20,99,43
2011-06-27,100,46
2011-07-04,101,46
2011-07-11,103,49
2011-07-18,107,51
2011-07-25,108,54
2011-08-01,109,54
2011-08-08,111,56
2011-08-15,115,56
2011-08-22,120,57
2011-08-29,126,64
2011-09-05,130,66
2011-09-12,134,69
2011-09-19,139,71
2011-09-26,147,77
2011-10-03,147,78
2011-10-10,150,81
2011-10-17,157,83
2011-10-24,159,84
2011-10-31,160,85
2011-11-07,161,86
2011-11-14,166,86
2011-11-21,170,86
2011-11-28,173,86
2011-12-05,176,86
2011-12-12,180,88
2011-12-19,184,89
2011-12-26,187,90
2012-01-02,192,93
2012-01-09,197,94
2012-01-16,198,95
2012-01-23,200,98
2012-01-30,203,99
2012-02-06,204,100
2012-02-13,206,101
2012-02-20,210,102
2012-02-27,211,106
2012-03-05,214,112
2012-03-12,214,113
2012-03-19,215,115
2012-03-26,216,115
2012-04-02,216,115
2012-04-09,219,115
2012-04-16,222,116
2012-04-23,224,117
2012-04-30,228,118
2012-05-07,229,119
2012-05-14,233,123
2012-05-21,236,125
2012-05-28,241,129
2012-06-04,244,130
2012-06-11,251,132
2012-06-18,258,133
2012-06-25,261,134
2012-07-02,263,136
2012-07-09,268,137
2012-07-16,271,138
2012-07-23,278,150
2012-07-30,282,164
2012-08-06,292,164
2012-08-13,301,166
2012-08-20,314,167
2012-08-27,325,168
2012-09-03,326,170
2012-09-10,329,197
2012-09-17,343,205
2012-09-24,349,213
2012-10-01,356,213
2012-10-08,358,214
2012-10-15,363,221
2012-10-22,369,223
2012-10-29,379,225
2012-11-05,389,235
2012-11-12,397,245
2012-11-19,401,260
2012-11-26,414,274
2012-12-03,427,290
2012-12-10,431,299
2012-12-17,440,307
2012-12-24,442,316
2012-12-31,456,328
2013-01-07,457,333
2013-01-14,461,339
2013-01-21,464,342
2013-01-28,470,349
2013-02-04,473,354
2013-02-11,525,377
2013-02-18,528,379
2013-02-25,536,410
2013-03-04,540,412
2013-03-11,543,413
2013-03-18,547,415
2013-03-25,549,416
2013-04-01,553,417
2013-04-08,556,421
2013-04-15,562,426
2013-04-22,563,432
2013-04-29,572,435
2013-05-06,582,438
2013-05-13,588,444
2013-05-20,594,447
2013-05-27,601,450
2013-06-03,608,454
2013-06-10,614,459
2013-06-17,624,467
2013-06-24,634,468
2013-07-01,643,472
2013-07-08,647,475
2013-07-15,659,496
2013-07-22,668,511
2013-07-29,680,517
2013-08-05,687,526
2013-08-12,693,531
2013-08-19,697,532
2013-08-26,706,548
2013-09-02,710,551
2013-09-09,716,566
2013-09-16,723,572
2013-09-23,728,578
2013-09-30,732,583
2013-10-07,738,586
2013-10-14,744,590
2013-10-21,750,595
2013-10-28,755,608
2013-11-04,762,620
2013-11-11,765,628
2013-11-18,783,649
2013-11-25,789,655
2013-12-02,798,671
2013-12-09,805,677
2013-12-16,819,684
2013-12-23,820,692
2013-12-30,826,697
2014-01-06,835,703
2014-01-13,842,710
2014-01-20,845,718
2014-01-27,847,720
2014-02-03,858,722
2014-02-10,868,724
2014-02-17,888,731
2014-02-24,901,742
2014-03-03,908,751
2014-03-10,913,751
2014-03-17,917,759
2014-03-24,926,764
2014-03-31,931,779
2014-04-07,945,787
2014-04-14,954,794
2014-04-21,965,800
2014-04-28,974,809
2014-05-05,990,813
2014-05-12,1016,836
2014-05-19,1026,838
2014-05-26,1039,839
2014-06-02,1046,841
2014-06-09,1062,844
2014-06-16,1076,873
2014-06-23,1089,890
2014-06-30,1107,901
2014-07-07,1143,909
2014-07-14,1155,916
2014-07-21,1165,944
2014-07-28,1183,945
2014-08-04,1194,971
2014-08-11,1207,974
2014-08-18,1215,976
2014-08-25,1222,980
2014-09-01,1224,982
2014-09-08,1240,983
2014-09-15,1246,984
2014-09-22,1256,990
2014-09-29,1258,994
2014-10-06,1261,994
2014-10-13,1269,995
2014-10-20,1276,1017
2014-10-27,1292,1020
2014-11-03,1299,1022
2014-11-10,1302,1022
2014-11-17,1305,1033
2014-11-24,1308,1034
2014-12-01,1314,1036
2014-12-08,1323,1036
2014-12-15,1332,1040
2014-12-22,1339,1040
2014-12-29,1346,1065
2015-01-05,1372,1081
2015-01-12,1377,1083
2015-01-19,1384,1092
2015-01-26,1388,1100
2015-02-02,1398,1105
2015-02-09,1403,1107
2015-02-16,1410,1109
2015-02-23,1413,1114
2015-03-02,1425,1117
2015-03-09,1444,1124
2015-03-16,1461,1129
2015-03-23,1471,1139
2015-03-30,1477,1149
2015-04-06,1487,1153
2015-04-13,1494,1157
2015-04-20,1503,1159
2015-04-27,1508,1165
2015-05-04,1512,1167
2015-05-11,1518,1170
2015-05-18,1521,1173
2015-05-25,1524,1175
2015-06-01,1531,1177
2015-06-08,1544,1185
2015-06-15,1570,1189
2015-06-22,1594,1208
2015-06-29,1603,1214
2015-07-06,1615,1220
2015-07-13,1640,1222
2015-07-20,1647,1224
2015-07-27,1650,1226
2015-08-03,1663,1232
2015-08-10,1680,1233
2015-08-17,1691,1239
2015-08-24,1741,1240
2015-08-31,1751,1253
2015-09-07,1757,1264
2015-09-14,1762,1269
2015-09-21,1767,1281
2015-09-28,1772,1285
2015-10-05,1776,1290
2015-10-12,1783,1295
2015-10-19,1792,1298
2015-10-26,1798,1331
2015-11-02,1808,1334
2015-11-09,1818,1339
2015-11-16,1822,1344
2015-11-23,1828,1349
2015-11-30,1839,1355
2015-12-07,1848,1367
2015-12-14,1850,1367
2015-12-21,1852,1369
2015-12-28,1853,1373
2016-01-04,1859,1376
2016-01-11,1862,1379
2016-01-18,1866,1384
2016-01-25,1869,1384
2016-02-01,1874,1386
2016-02-08,1879,1408
2016-02-15,1884,1413
2016-02-22,1891,1418
2016-02-29,1899,1421
2016-03-07,1906,1425
2016-03-14,1911,1426
2016-03-21,1916,1430
2016-03-28,1923,1432
2016-04-04,1929,1449
2016-04-11,1936,1451
2016-04-18,1944,1456
2016-04-25,1948,1459
2016-05-02,1958,1468
2016-05-09,1962,1471
2016-05-16,1973,1476
2016-05-23,1989,1484
