week,opened,closed
2009-12-28,0,0
2010-01-04,1,0
2010-01-11,1,0
2010-01-18,1,0
2010-01-25,1,0
2010-02-01,1,0
2010-02-08,1,0
2010-02-15,1,0
2010-02-22,1,0
2010-03-01,1,0
2010-03-08,1,0
2010-03-15,1,0
2010-03-22,1,0
2010-03-29,1,0
2010-04-05,1,0
2010-04-12,1,0
2010-04-19,1,0
2010-04-26,1,0
2010-05-03,1,0
2010-05-10,1,0
2010-05-17,1,0
2010-05-24,1,0
2010-05-31,2,0
2010-06-07,2,0
2010-06-14,2,0
2010-06-21,2,0
2010-06-28,2,0
2010-07-05,2,0
2010-07-12,2,0
2010-07-19,2,0
2010-07-26,2,0
2010-08-02,2,0
2010-08-09,2,0
2010-08-16,2,0
2010-08-23,2,0
2010-08-30,2,0
2010-09-06,2,0
2010-09-13,2,0
2010-09-20,2,0
2010-09-27,2,0
2010-10-04,2,0
2010-10-11,2,0
2010-10-18,2,0
2010-10-25,3,0
2010-11-01,4,0
2010-11-08,5,0
2010-11-15,12,0
2010-11-22,14,0
2010-11-29,17,0
2010-12-06,19,0
2010-12-13,19,0
2010-12-20,20,0
2010-12-27,22,0
2011-01-03,22,0
2011-01-10,22,0
2011-01-17,24,1
2011-01-24,25,2
2011-01-31,25,2
2011-02-07,26,2
2011-02-14,26,3
2011-02-21,27,3
2011-02-28,27,3
2011-03-07,27,3
2011-03-14,28,5
2011-03-21,30,5
2011-03-28,30,5
2011-04-04,30,5
2011-04-11,32,5
2011-04-18,33,5
2011-04-25,34,5
2011-05-02,35,5
2011-05-09,35,6
2011-05-16,37,6
2011-05-23,39,7
2011-05-30,47,8
2011-06-06,49,10
2011-06-13,52,11
2011-06-20,54,11
2011-06-27,54,11
2011-07-04,56,12
2011-07-11,59,15
2011-07-18,63,16
2011-07-25,65,18
2011-08-01,68,18
2011-08-08,69,18
2011-08-15,69,19
2011-08-22,76,24
2011-08-29,79,25
2011-09-05,83,28
2011-09-12,86,29
2011-09-19,88,31
2011-09-26,90,36
2011-10-03,90,39
2011-10-10,93,40
2011-10-17,94,43
2011-10-24,98,46
2011-10-31,99,47
2011-11-07,100,48
2011-11-14,102,49
2011-11-21,103,50
2011-11-28,109,51
2011-12-05,110,51
2011-12-12,110,51
2011-12-19,111,51
2011-12-26,111,53
2012-01-02,112,53
2012-01-09,113,53
2012-01-16,113,54
2012-01-23,115,54
2012-01-30,115,54
2012-02-06,115,55
2012-02-13,116,57
2012-02-20,116,57
2012-02-27,118,57
2012-03-05,119,58
2012-03-12,119,58
2012-03-19,120,59
2012-03-26,121,59
2012-04-02,123,59
2012-04-09,125,62
2012-04-16,126,66
2012-04-23,128,66
2012-04-30,129,66
2012-05-07,131,66
2012-05-14,135,66
2012-05-21,137,66
2012-05-28,140,66
2012-06-04,142,67
2012-06-11,144,67
2012-06-18,147,69
2012-06-25,148,69
2012-07-02,149,70
2012-07-09,151,70
2012-07-16,152,70
2012-07-23,154,72
2012-07-30,156,73
2012-08-06,158,74
2012-08-13,159,75
2012-08-20,164,75
2012-08-27,166,76
2012-09-03,171,76
2012-09-10,173,78
2012-09-17,173,80
2012-09-24,175,83
2012-10-01,175,87
2012-10-08,175,87
2012-10-15,175,89
2012-10-22,179,92
2012-10-29,189,95
2012-11-05,195,96
2012-11-12,197,97
2012-11-19,198,98
2012-11-26,199,99
2012-12-03,202,102
2012-12-10,204,102
2012-12-17,207,103
2012-12-24,208,103
2012-12-31,209,104
2013-01-07,211,106
2013-01-14,213,156
2013-01-21,213,158
2013-01-28,215,162
2013-02-04,215,162
2013-02-11,215,162
2013-02-18,215,162
2013-02-25,215,162
2013-03-04,216,163
2013-03-11,218,163
2013-03-18,219,165
2013-03-25,221,166
2013-04-01,222,166
2013-04-08,226,166
2013-04-15,228,167
2013-04-22,232,168
2013-04-29,237,168
2013-05-06,243,168
2013-05-13,247,170
2013-05-20,249,174
2013-05-27,253,174
2013-06-03,259,177
2013-06-10,261,177
2013-06-17,269,189
2013-06-24,276,192
2013-07-01,283,194
2013-07-08,285,202
2013-07-15,287,211
2013-07-22,293,212
2013-07-29,301,214
2013-08-05,309,214
2013-08-12,310,220
2013-08-19,313,226
2013-08-26,317,226
2013-09-02,325,229
2013-09-09,330,262
2013-09-16,332,264
2013-09-23,337,266
2013-09-30,342,267
2013-10-07,344,267
2013-10-14,346,267
2013-10-21,348,269
2013-10-28,351,270
2013-11-04,355,303
2013-11-11,361,303
2013-11-18,361,303
2013-11-25,365,303
2013-12-02,365,306
2013-12-09,366,306
2013-12-16,366,306
2013-12-23,366,306
2013-12-30,367,307
2014-01-06,368,328
2014-01-13,369,329
2014-01-20,373,329
2014-01-27,373,329
2014-02-03,374,330
2014-02-10,376,330
2014-02-17,376,330
2014-02-24,377,330
2014-03-03,377,330
2014-03-10,378,330
