week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,0,0
2010-08-16,0,0
2010-08-23,0,0
2010-08-30,0,0
2010-09-06,0,0
2010-09-13,0,0
2010-09-20,0,0
2010-09-27,0,0
2010-10-04,0,0
2010-10-11,0,0
2010-10-18,0,0
2010-10-25,0,0
2010-11-01,0,0
2010-11-08,0,0
2010-11-15,0,0
2010-11-22,0,0
2010-11-29,0,0
2010-12-06,0,0
2010-12-13,0,0
2010-12-20,0,0
2010-12-27,0,0
2011-01-03,0,0
2011-01-10,0,0
2011-01-17,0,0
2011-01-24,0,0
2011-01-31,0,0
2011-02-07,0,0
2011-02-14,0,0
2011-02-21,0,0
2011-02-28,0,0
2011-03-07,0,0
2011-03-14,0,0
2011-03-21,0,0
2011-03-28,0,0
2011-04-04,0,0
2011-04-11,0,0
2011-04-18,0,0
2011-04-25,0,0
2011-05-02,0,0
2011-05-09,0,0
2011-05-16,1,0
2011-05-23,1,0
2011-05-30,1,0
2011-06-06,1,0
2011-06-13,1,0
2011-06-20,1,0
2011-06-27,1,0
2011-07-04,1,0
2011-07-11,1,0
2011-07-18,1,0
2011-07-25,1,0
2011-08-01,1,0
2011-08-08,1,0
2011-08-15,1,0
2011-08-22,1,0
2011-08-29,1,0
2011-09-05,1,0
2011-09-12,1,0
2011-09-19,1,0
2011-09-26,1,0
2011-10-03,1,0
2011-10-10,1,0
2011-10-17,1,0
2011-10-24,1,0
2011-10-31,1,0
2011-11-07,1,0
2011-11-14,1,0
2011-11-21,1,0
2011-11-28,1,0
2011-12-05,1,0
2011-12-12,1,0
2011-12-19,1,0
2011-12-26,1,0
2012-01-02,1,0
2012-01-09,2,0
2012-01-16,2,0
2012-01-23,2,0
2012-01-30,2,0
2012-02-06,2,0
2012-02-13,2,0
2012-02-20,2,0
2012-02-27,2,0
2012-03-05,2,0
2012-03-12,2,0
2012-03-19,2,0
2012-03-26,2,0
2012-04-02,3,0
2012-04-09,3,0
2012-04-16,3,0
2012-04-23,3,0
2012-04-30,3,0
2012-05-07,3,0
2012-05-14,3,0
2012-05-21,3,0
2012-05-28,3,0
2012-06-04,3,0
2012-06-11,3,0
2012-06-18,3,0
2012-06-25,3,0
2012-07-02,3,0
2012-07-09,4,0
2012-07-16,4,0
2012-07-23,4,0
2012-07-30,4,0
2012-08-06,6,0
2012-08-13,6,0
2012-08-20,6,0
2012-08-27,6,0
2012-09-03,6,0
2012-09-10,6,0
2012-09-17,6,0
2012-09-24,6,0
2012-10-01,8,0
2012-10-08,8,0
2012-10-15,8,0
2012-10-22,8,0
2012-10-29,8,0
2012-11-05,8,0
2012-11-12,8,0
2012-11-19,8,0
2012-11-26,9,0
2012-12-03,9,0
2012-12-10,9,0
2012-12-17,9,0
2012-12-24,9,0
2012-12-31,9,0
2013-01-07,9,0
2013-01-14,9,0
2013-01-21,9,0
2013-01-28,9,0
2013-02-04,9,0
2013-02-11,10,0
2013-02-18,10,0
2013-02-25,11,0
2013-03-04,11,0
2013-03-11,11,0
2013-03-18,11,0
2013-03-25,11,0
2013-04-01,11,0
2013-04-08,11,0
2013-04-15,11,0
2013-04-22,11,0
2013-04-29,11,0
2013-05-06,11,0
2013-05-13,11,0
2013-05-20,11,0
2013-05-27,12,0
2013-06-03,12,0
2013-06-10,13,2
2013-06-17,14,3
2013-06-24,14,3
2013-07-01,14,3
2013-07-08,14,3
2013-07-15,16,3
2013-07-22,16,3
2013-07-29,16,3
2013-08-05,16,3
2013-08-12,16,3
2013-08-19,16,3
2013-08-26,16,3
2013-09-02,16,3
2013-09-09,17,3
2013-09-16,18,4
2013-09-23,18,4
2013-09-30,18,4
2013-10-07,18,4
2013-10-14,18,4
2013-10-21,18,4
2013-10-28,18,4
2013-11-04,18,7
2013-11-11,18,11
2013-11-18,18,11
2013-11-25,18,11
2013-12-02,18,11
2013-12-09,18,11
2013-12-16,18,11
2013-12-23,18,11
2013-12-30,18,11
2014-01-06,18,11
2014-01-13,18,11
2014-01-20,18,11
2014-01-27,18,11
2014-02-03,18,11
2014-02-10,18,11
2014-02-17,18,11
2014-02-24,18,11
2014-03-03,18,11
2014-03-10,18,11
2014-03-17,18,11
2014-03-24,20,11
2014-03-31,22,11
2014-04-07,24,11
2014-04-14,24,11
2014-04-21,24,11
2014-04-28,24,11
2014-05-05,24,11
2014-05-12,25,11
2014-05-19,25,11
2014-05-26,25,11
2014-06-02,25,11
2014-06-09,25,11
2014-06-16,25,11
2014-06-23,25,11
2014-06-30,27,11
2014-07-07,27,11
2014-07-14,27,11
2014-07-21,27,11
2014-07-28,27,11
2014-08-04,27,11
2014-08-11,27,11
2014-08-18,28,11
2014-08-25,28,12
2014-09-01,28,12
2014-09-08,28,12
2014-09-15,29,12
2014-09-22,29,12
2014-09-29,30,12
2014-10-06,30,12
2014-10-13,31,12
2014-10-20,34,12
2014-10-27,35,13
2014-11-03,35,13
2014-11-10,35,13
2014-11-17,35,14
2014-11-24,35,14
2014-12-01,35,14
2014-12-08,35,14
2014-12-15,35,14
2014-12-22,35,14
2014-12-29,35,14
2015-01-05,35,14
2015-01-12,36,15
2015-01-19,36,15
2015-01-26,37,15
2015-02-02,37,15
2015-02-09,37,15
2015-02-16,37,15
2015-02-23,37,15
2015-03-02,37,15
2015-03-09,38,15
2015-03-16,39,15
2015-03-23,39,15
2015-03-30,39,15
2015-04-06,39,15
2015-04-13,39,15
2015-04-20,40,17
2015-04-27,44,17
2015-05-04,45,17
2015-05-11,48,22
2015-05-18,49,22
2015-05-25,49,22
2015-06-01,50,22
2015-06-08,51,22
2015-06-15,52,22
2015-06-22,52,22
2015-06-29,52,22
2015-07-06,52,22
2015-07-13,53,22
2015-07-20,54,22
2015-07-27,54,22
2015-08-03,55,22
2015-08-10,56,22
2015-08-17,56,22
2015-08-24,57,22
2015-08-31,57,22
2015-09-07,57,22
2015-09-14,57,22
2015-09-21,57,22
2015-09-28,57,22
2015-10-05,57,22
2015-10-12,58,23
2015-10-19,58,24
2015-10-26,59,24
2015-11-02,59,24
2015-11-09,60,25
2015-11-16,61,25
2015-11-23,61,25
2015-11-30,62,25
2015-12-07,62,25
2015-12-14,63,25
2015-12-21,63,25
2015-12-28,63,25
2016-01-04,65,25
2016-01-11,65,25
2016-01-18,65,26
2016-01-25,65,26
2016-02-01,65,26
2016-02-08,65,26
2016-02-15,65,26
2016-02-22,65,26
2016-02-29,66,26
2016-03-07,66,26
2016-03-14,66,26
2016-03-21,66,26
2016-03-28,68,26
2016-04-04,69,27
2016-04-11,70,27
2016-04-18,70,27
2016-04-25,70,27
2016-05-02,70,27
2016-05-09,71,27
2016-05-16,71,27
2016-05-23,71,27
