week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,1,0
2010-04-19,1,0
2010-04-26,1,0
2010-05-03,1,0
2010-05-10,1,0
2010-05-17,1,0
2010-05-24,2,0
2010-05-31,3,0
2010-06-07,4,0
2010-06-14,4,0
2010-06-21,4,0
2010-06-28,5,0
2010-07-05,5,0
2010-07-12,5,0
2010-07-19,5,0
2010-07-26,5,0
2010-08-02,5,0
2010-08-09,5,0
2010-08-16,5,0
2010-08-23,5,0
2010-08-30,5,0
2010-09-06,5,0
2010-09-13,5,0
2010-09-20,6,0
2010-09-27,7,0
2010-10-04,7,0
2010-10-11,7,0
2010-10-18,7,0
2010-10-25,7,0
2010-11-01,10,0
2010-11-08,10,0
2010-11-15,13,0
2010-11-22,14,1
2010-11-29,15,1
2010-12-06,15,1
2010-12-13,15,1
2010-12-20,16,1
2010-12-27,17,1
2011-01-03,18,1
2011-01-10,20,1
2011-01-17,20,2
2011-01-24,24,3
2011-01-31,24,3
2011-02-07,25,3
2011-02-14,25,3
2011-02-21,25,3
2011-02-28,26,3
2011-03-07,27,6
2011-03-14,29,6
2011-03-21,29,6
2011-03-28,30,8
2011-04-04,32,9
2011-04-11,33,9
2011-04-18,33,9
2011-04-25,33,10
2011-05-02,33,10
2011-05-09,33,10
2011-05-16,34,10
2011-05-23,35,10
2011-05-30,35,10
2011-06-06,36,10
2011-06-13,38,12
2011-06-20,38,12
2011-06-27,38,15
2011-07-04,39,15
2011-07-11,39,17
2011-07-18,39,17
2011-07-25,40,18
2011-08-01,41,18
2011-08-08,43,18
2011-08-15,43,20
2011-08-22,47,20
2011-08-29,49,21
2011-09-05,50,23
2011-09-12,51,23
2011-09-19,51,24
2011-09-26,51,24
2011-10-03,51,25
2011-10-10,51,25
2011-10-17,56,25
2011-10-24,61,27
2011-10-31,61,27
2011-11-07,63,27
2011-11-14,63,27
2011-11-21,64,27
2011-11-28,64,28
2011-12-05,65,29
2011-12-12,67,29
2011-12-19,71,29
2011-12-26,71,30
2012-01-02,71,30
2012-01-09,72,30
2012-01-16,73,30
2012-01-23,73,31
2012-01-30,73,31
2012-02-06,73,31
2012-02-13,75,31
2012-02-20,75,31
2012-02-27,76,31
2012-03-05,77,31
2012-03-12,78,31
2012-03-19,79,31
2012-03-26,79,31
2012-04-02,83,32
2012-04-09,84,33
2012-04-16,84,34
2012-04-23,84,34
2012-04-30,84,34
2012-05-07,84,34
2012-05-14,87,34
2012-05-21,88,35
2012-05-28,90,35
2012-06-04,90,35
2012-06-11,91,35
2012-06-18,97,35
2012-06-25,98,35
2012-07-02,101,35
2012-07-09,103,35
2012-07-16,104,35
2012-07-23,106,38
2012-07-30,109,43
2012-08-06,113,43
2012-08-13,118,43
2012-08-20,121,43
2012-08-27,123,43
2012-09-03,129,44
2012-09-10,129,65
2012-09-17,143,78
2012-09-24,145,83
2012-10-01,149,86
2012-10-08,153,90
2012-10-15,175,113
2012-10-22,178,115
2012-10-29,179,115
2012-11-05,187,119
2012-11-12,198,127
2012-11-19,201,129
2012-11-26,210,135
2012-12-03,222,140
2012-12-10,222,151
2012-12-17,223,153
2012-12-24,224,155
2012-12-31,227,158
2013-01-07,228,163
2013-01-14,231,164
2013-01-21,233,172
2013-01-28,237,176
2013-02-04,245,182
2013-02-11,337,197
2013-02-18,338,197
2013-02-25,341,278
2013-03-04,343,282
2013-03-11,353,289
2013-03-18,357,292
2013-03-25,359,293
2013-04-01,363,295
2013-04-08,367,295
2013-04-15,371,300
2013-04-22,373,304
2013-04-29,374,306
2013-05-06,377,306
2013-05-13,382,308
2013-05-20,388,314
2013-05-27,390,314
2013-06-03,394,315
2013-06-10,400,320
2013-06-17,409,328
2013-06-24,415,333
2013-07-01,422,338
2013-07-08,428,345
2013-07-15,433,348
2013-07-22,435,358
2013-07-29,441,366
2013-08-05,442,367
2013-08-12,449,368
2013-08-19,463,370
2013-08-26,475,373
2013-09-02,481,384
2013-09-09,486,388
2013-09-16,491,398
2013-09-23,497,400
2013-09-30,500,401
2013-10-07,506,405
2013-10-14,511,407
2013-10-21,518,411
2013-10-28,522,423
2013-11-04,525,427
2013-11-11,530,429
2013-11-18,532,434
2013-11-25,533,434
2013-12-02,542,439
2013-12-09,546,450
2013-12-16,556,457
2013-12-23,561,460
2013-12-30,569,461
2014-01-06,574,464
2014-01-13,583,465
2014-01-20,586,468
2014-01-27,591,481
2014-02-03,608,485
2014-02-10,623,486
2014-02-17,628,489
2014-02-24,634,491
2014-03-03,639,498
2014-03-10,645,500
2014-03-17,658,506
2014-03-24,663,508
2014-03-31,672,520
2014-04-07,685,522
2014-04-14,695,523
2014-04-21,706,526
2014-04-28,730,537
2014-05-05,737,542
2014-05-12,745,556
2014-05-19,752,561
2014-05-26,760,563
2014-06-02,769,568
2014-06-09,777,576
2014-06-16,787,592
2014-06-23,798,602
2014-06-30,802,608
2014-07-07,812,613
2014-07-14,828,623
2014-07-21,834,633
2014-07-28,843,637
2014-08-04,853,642
2014-08-11,859,644
2014-08-18,864,648
2014-08-25,873,650
2014-09-01,881,651
2014-09-08,883,651
2014-09-15,888,656
2014-09-22,889,663
2014-09-29,891,665
2014-10-06,896,675
2014-10-13,900,676
2014-10-20,904,679
2014-10-27,918,679
2014-11-03,949,681
2014-11-10,950,687
2014-11-17,957,689
2014-11-24,959,692
2014-12-01,967,696
2014-12-08,975,697
2014-12-15,976,702
2014-12-22,977,703
2014-12-29,981,709
2015-01-05,988,710
2015-01-12,994,716
2015-01-19,998,721
2015-01-26,1004,726
2015-02-02,1008,730
2015-02-09,1011,734
2015-02-16,1012,735
2015-02-23,1014,736
2015-03-02,1022,741
2015-03-09,1034,746
2015-03-16,1041,750
2015-03-23,1059,758
2015-03-30,1067,771
2015-04-06,1069,776
2015-04-13,1070,777
2015-04-20,1078,789
2015-04-27,1084,791
2015-05-04,1092,799
2015-05-11,1111,802
2015-05-18,1114,816
2015-05-25,1119,818
2015-06-01,1126,820
2015-06-08,1136,822
2015-06-15,1138,823
2015-06-22,1147,824
2015-06-29,1156,826
2015-07-06,1162,833
2015-07-13,1167,834
2015-07-20,1176,836
2015-07-27,1183,841
2015-08-03,1202,851
2015-08-10,1211,859
2015-08-17,1214,863
2015-08-24,1217,863
2015-08-31,1223,865
2015-09-07,1233,868
2015-09-14,1240,872
2015-09-21,1244,884
2015-09-28,1253,887
2015-10-05,1262,897
2015-10-12,1275,905
2015-10-19,1285,907
2015-10-26,1295,915
2015-11-02,1301,924
2015-11-09,1310,925
2015-11-16,1329,932
2015-11-23,1333,941
2015-11-30,1339,948
2015-12-07,1344,950
2015-12-14,1349,950
2015-12-21,1356,951
2015-12-28,1356,960
2016-01-04,1359,962
2016-01-11,1363,966
2016-01-18,1368,966
2016-01-25,1374,971
2016-02-01,1382,973
2016-02-08,1386,987
2016-02-15,1392,991
2016-02-22,1401,997
2016-02-29,1409,1004
2016-03-07,1419,1013
2016-03-14,1421,1017
2016-03-21,1429,1022
2016-03-28,1434,1025
2016-04-04,1440,1029
2016-04-11,1447,1032
2016-04-18,1453,1036
2016-04-25,1461,1036
2016-05-02,1464,1050
2016-05-09,1467,1051
2016-05-16,1476,1053
2016-05-23,1482,1055
