week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,0,0
2010-08-16,0,0
2010-08-23,0,0
2010-08-30,0,0
2010-09-06,0,0
2010-09-13,0,0
2010-09-20,0,0
2010-09-27,0,0
2010-10-04,0,0
2010-10-11,1,0
2010-10-18,1,0
2010-10-25,2,0
2010-11-01,3,0
2010-11-08,3,0
2010-11-15,3,0
2010-11-22,3,0
2010-11-29,3,1
2010-12-06,3,1
2010-12-13,3,1
2010-12-20,4,1
2010-12-27,4,1
2011-01-03,5,2
2011-01-10,6,2
2011-01-17,6,2
2011-01-24,7,2
2011-01-31,8,2
2011-02-07,9,2
2011-02-14,11,2
2011-02-21,11,2
2011-02-28,11,3
2011-03-07,12,3
2011-03-14,14,3
2011-03-21,14,3
2011-03-28,15,3
2011-04-04,15,3
2011-04-11,15,5
2011-04-18,16,5
2011-04-25,16,5
2011-05-02,17,5
2011-05-09,17,5
2011-05-16,17,5
2011-05-23,17,5
2011-05-30,17,5
2011-06-06,17,5
2011-06-13,17,5
2011-06-20,17,5
2011-06-27,17,6
2011-07-04,17,6
2011-07-11,19,6
2011-07-18,19,6
2011-07-25,19,7
2011-08-01,19,8
2011-08-08,19,8
2011-08-15,19,8
2011-08-22,19,8
2011-08-29,19,8
2011-09-05,21,8
2011-09-12,21,8
2011-09-19,22,8
2011-09-26,24,8
2011-10-03,24,8
2011-10-10,25,8
2011-10-17,25,8
2011-10-24,28,8
2011-10-31,28,8
2011-11-07,30,8
2011-11-14,31,8
2011-11-21,32,8
2011-11-28,32,8
2011-12-05,32,8
2011-12-12,33,8
2011-12-19,33,8
2011-12-26,33,8
2012-01-02,34,8
2012-01-09,34,9
2012-01-16,34,9
2012-01-23,34,9
2012-01-30,34,9
2012-02-06,34,9
2012-02-13,34,9
2012-02-20,34,9
2012-02-27,34,9
2012-03-05,34,9
2012-03-12,34,9
2012-03-19,34,9
2012-03-26,35,9
2012-04-02,38,9
2012-04-09,39,9
2012-04-16,39,9
2012-04-23,40,9
2012-04-30,40,9
2012-05-07,40,9
2012-05-14,41,9
2012-05-21,41,9
2012-05-28,44,9
2012-06-04,46,10
2012-06-11,48,10
2012-06-18,50,10
2012-06-25,51,10
2012-07-02,54,10
2012-07-09,55,10
2012-07-16,56,13
2012-07-23,56,16
2012-07-30,56,19
2012-08-06,56,19
2012-08-13,56,19
2012-08-20,59,19
2012-08-27,62,19
2012-09-03,65,19
2012-09-10,66,24
2012-09-17,73,28
2012-09-24,74,30
2012-10-01,76,31
2012-10-08,77,32
2012-10-15,77,33
2012-10-22,77,33
2012-10-29,78,33
2012-11-05,83,41
2012-11-12,88,46
2012-11-19,88,48
2012-11-26,89,48
2012-12-03,89,51
2012-12-10,90,59
2012-12-17,94,63
2012-12-24,97,65
2012-12-31,100,69
2013-01-07,103,69
2013-01-14,104,70
2013-01-21,108,74
2013-01-28,111,78
2013-02-04,112,79
2013-02-11,177,79
2013-02-18,178,79
2013-02-25,178,144
2013-03-04,181,144
2013-03-11,185,144
2013-03-18,187,147
2013-03-25,191,149
2013-04-01,192,151
2013-04-08,193,151
2013-04-15,195,151
2013-04-22,196,152
2013-04-29,200,152
2013-05-06,200,153
2013-05-13,201,153
2013-05-20,201,154
2013-05-27,202,154
2013-06-03,208,159
2013-06-10,209,162
2013-06-17,221,165
2013-06-24,222,165
2013-07-01,223,166
2013-07-08,227,167
2013-07-15,230,174
2013-07-22,234,177
2013-07-29,237,182
2013-08-05,238,186
2013-08-12,239,186
2013-08-19,247,189
2013-08-26,250,191
2013-09-02,256,193
2013-09-09,259,195
2013-09-16,261,206
2013-09-23,279,206
2013-09-30,279,207
2013-10-07,281,208
2013-10-14,283,219
2013-10-21,285,220
2013-10-28,288,221
2013-11-04,289,229
2013-11-11,290,231
2013-11-18,291,233
2013-11-25,292,233
2013-12-02,297,235
2013-12-09,299,239
2013-12-16,302,240
2013-12-23,304,241
2013-12-30,305,241
2014-01-06,308,244
2014-01-13,310,245
2014-01-20,312,245
2014-01-27,313,251
2014-02-03,322,251
2014-02-10,325,253
2014-02-17,329,254
2014-02-24,333,255
2014-03-03,337,255
2014-03-10,339,259
2014-03-17,343,263
2014-03-24,347,268
2014-03-31,350,270
2014-04-07,353,272
2014-04-14,358,273
2014-04-21,363,274
2014-04-28,366,276
2014-05-05,375,279
2014-05-12,380,280
2014-05-19,384,285
2014-05-26,387,285
2014-06-02,388,287
2014-06-09,388,288
2014-06-16,393,289
2014-06-23,397,291
2014-06-30,399,291
2014-07-07,403,291
2014-07-14,407,293
2014-07-21,410,298
2014-07-28,414,299
2014-08-04,415,300
2014-08-11,417,300
2014-08-18,420,300
2014-08-25,423,300
2014-09-01,427,301
2014-09-08,427,303
2014-09-15,429,304
2014-09-22,432,305
2014-09-29,468,305
2014-10-06,470,318
2014-10-13,473,324
2014-10-20,475,325
2014-10-27,479,328
2014-11-03,482,328
2014-11-10,483,328
2014-11-17,484,332
2014-11-24,487,333
2014-12-01,493,335
2014-12-08,496,337
2014-12-15,501,340
2014-12-22,502,340
2014-12-29,502,343
2015-01-05,504,343
2015-01-12,506,345
2015-01-19,506,348
2015-01-26,506,348
2015-02-02,507,348
2015-02-09,507,348
2015-02-16,508,348
2015-02-23,509,348
2015-03-02,513,348
2015-03-09,527,348
2015-03-16,539,352
2015-03-23,541,365
2015-03-30,545,369
2015-04-06,549,374
2015-04-13,555,379
2015-04-20,561,383
2015-04-27,565,390
2015-05-04,565,391
2015-05-11,566,392
2015-05-18,571,392
2015-05-25,576,393
2015-06-01,576,394
2015-06-08,576,396
2015-06-15,579,396
2015-06-22,580,396
2015-06-29,581,396
2015-07-06,586,396
2015-07-13,589,397
2015-07-20,593,401
2015-07-27,594,401
2015-08-03,594,402
2015-08-10,595,403
2015-08-17,597,404
2015-08-24,597,404
2015-08-31,601,405
2015-09-07,605,406
2015-09-14,610,409
2015-09-21,611,410
2015-09-28,613,410
2015-10-05,616,411
2015-10-12,633,421
2015-10-19,636,424
2015-10-26,636,433
2015-11-02,639,436
2015-11-09,641,437
2015-11-16,643,437
2015-11-23,644,437
2015-11-30,645,437
2015-12-07,647,440
2015-12-14,648,440
2015-12-21,649,440
2015-12-28,653,441
2016-01-04,657,448
2016-01-11,659,450
2016-01-18,660,451
2016-01-25,664,451
2016-02-01,665,454
2016-02-08,669,461
2016-02-15,674,489
2016-02-22,676,496
2016-02-29,682,498
2016-03-07,682,499
2016-03-14,683,499
2016-03-21,685,500
2016-03-28,687,501
2016-04-04,689,501
2016-04-11,692,504
2016-04-18,695,504
2016-04-25,695,504
2016-05-02,696,507
2016-05-09,700,508
2016-05-16,701,508
2016-05-23,705,508
