week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,1,0
2010-02-08,1,0
2010-02-15,1,0
2010-02-22,1,0
2010-03-01,1,0
2010-03-08,1,0
2010-03-15,1,0
2010-03-22,1,0
2010-03-29,1,0
2010-04-05,1,0
2010-04-12,1,0
2010-04-19,1,0
2010-04-26,1,0
2010-05-03,1,0
2010-05-10,1,0
2010-05-17,1,0
2010-05-24,1,0
2010-05-31,1,0
2010-06-07,1,0
2010-06-14,1,0
2010-06-21,1,0
2010-06-28,1,0
2010-07-05,1,0
2010-07-12,1,0
2010-07-19,1,0
2010-07-26,1,0
2010-08-02,1,0
2010-08-09,1,0
2010-08-16,1,0
2010-08-23,1,0
2010-08-30,1,0
2010-09-06,1,0
2010-09-13,1,0
2010-09-20,1,0
2010-09-27,1,0
2010-10-04,1,0
2010-10-11,1,0
2010-10-18,1,0
2010-10-25,1,0
2010-11-01,1,0
2010-11-08,2,0
2010-11-15,6,0
2010-11-22,6,2
2010-11-29,6,2
2010-12-06,12,3
2010-12-13,12,4
2010-12-20,13,5
2010-12-27,20,5
2011-01-03,20,6
2011-01-10,22,6
2011-01-17,22,6
2011-01-24,24,6
2011-01-31,24,6
2011-02-07,25,6
2011-02-14,26,6
2011-02-21,28,6
2011-02-28,41,7
2011-03-07,41,8
2011-03-14,49,12
2011-03-21,52,16
2011-03-28,55,17
2011-04-04,55,18
2011-04-11,59,20
2011-04-18,66,22
2011-04-25,68,22
2011-05-02,73,24
2011-05-09,79,26
2011-05-16,82,27
2011-05-23,82,30
2011-05-30,83,32
2011-06-06,87,34
2011-06-13,88,34
2011-06-20,92,34
2011-06-27,94,35
2011-07-04,96,36
2011-07-11,104,43
2011-07-18,105,49
2011-07-25,107,55
2011-08-01,107,56
2011-08-08,113,64
2011-08-15,114,67
2011-08-22,116,70
2011-08-29,116,73
2011-09-05,117,74
2011-09-12,118,75
2011-09-19,118,76
2011-09-26,119,79
2011-10-03,119,81
2011-10-10,119,82
2011-10-17,122,85
2011-10-24,122,87
2011-10-31,124,88
2011-11-07,124,89
2011-11-14,126,92
2011-11-21,127,92
2011-11-28,134,93
2011-12-05,135,93
2011-12-12,139,93
2011-12-19,139,93
2011-12-26,140,94
2012-01-02,140,96
2012-01-09,140,96
2012-01-16,140,96
2012-01-23,144,96
2012-01-30,147,100
2012-02-06,148,101
2012-02-13,152,102
2012-02-20,157,102
2012-02-27,160,106
2012-03-05,163,107
2012-03-12,164,110
2012-03-19,167,110
2012-03-26,172,117
2012-04-02,174,118
2012-04-09,176,121
2012-04-16,178,123
2012-04-23,179,123
2012-04-30,183,125
2012-05-07,185,126
2012-05-14,196,127
2012-05-21,197,128
2012-05-28,197,131
2012-06-04,200,132
2012-06-11,205,134
2012-06-18,206,138
2012-06-25,209,139
2012-07-02,212,141
2012-07-09,212,142
2012-07-16,213,142
2012-07-23,218,145
2012-07-30,222,148
2012-08-06,224,149
2012-08-13,225,150
2012-08-20,227,150
2012-08-27,232,150
2012-09-03,236,152
2012-09-10,239,152
2012-09-17,240,157
2012-09-24,243,159
2012-10-01,249,160
2012-10-08,251,160
2012-10-15,255,188
2012-10-22,258,191
2012-10-29,259,191
2012-11-05,259,192
2012-11-12,259,193
2012-11-19,259,195
2012-11-26,261,195
2012-12-03,264,200
2012-12-10,264,202
2012-12-17,265,204
2012-12-24,265,213
2012-12-31,265,220
2013-01-07,267,221
2013-01-14,268,222
2013-01-21,271,224
2013-01-28,272,225
2013-02-04,273,226
2013-02-11,274,226
2013-02-18,275,226
2013-02-25,276,227
2013-03-04,276,227
2013-03-11,283,227
2013-03-18,286,227
2013-03-25,288,229
2013-04-01,291,232
2013-04-08,294,233
2013-04-15,297,233
2013-04-22,301,235
2013-04-29,301,237
2013-05-06,301,240
2013-05-13,304,244
2013-05-20,306,244
2013-05-27,306,244
2013-06-03,306,244
2013-06-10,308,245
2013-06-17,309,246
2013-06-24,309,246
2013-07-01,309,246
2013-07-08,309,246
2013-07-15,311,277
2013-07-22,317,282
2013-07-29,318,282
2013-08-05,320,284
2013-08-12,321,291
2013-08-19,323,296
2013-08-26,324,296
2013-09-02,325,297
2013-09-09,325,302
2013-09-16,325,302
2013-09-23,326,305
2013-09-30,328,305
2013-10-07,330,305
2013-10-14,331,305
2013-10-21,332,305
2013-10-28,332,305
2013-11-04,334,309
2013-11-11,335,312
2013-11-18,336,312
2013-11-25,336,312
2013-12-02,336,312
2013-12-09,337,312
2013-12-16,337,313
2013-12-23,337,313
2013-12-30,337,313
2014-01-06,338,314
2014-01-13,339,314
2014-01-20,339,315
2014-01-27,340,315
2014-02-03,340,317
2014-02-10,341,319
2014-02-17,344,319
2014-02-24,347,319
2014-03-03,349,320
2014-03-10,353,323
2014-03-17,354,327
2014-03-24,356,328
2014-03-31,356,328
2014-04-07,356,328
2014-04-14,357,328
2014-04-21,357,330
2014-04-28,357,330
2014-05-05,357,330
2014-05-12,357,330
2014-05-19,357,330
2014-05-26,357,330
2014-06-02,357,330
2014-06-09,359,331
2014-06-16,359,332
2014-06-23,360,332
2014-06-30,360,332
2014-07-07,360,332
2014-07-14,360,332
2014-07-21,360,332
2014-07-28,361,334
2014-08-04,361,334
2014-08-11,362,334
2014-08-18,362,334
2014-08-25,365,335
2014-09-01,365,335
2014-09-08,365,337
2014-09-15,365,338
2014-09-22,365,338
2014-09-29,366,338
2014-10-06,367,339
2014-10-13,368,339
2014-10-20,369,340
2014-10-27,369,341
2014-11-03,369,341
2014-11-10,369,341
2014-11-17,370,341
2014-11-24,371,342
2014-12-01,371,342
2014-12-08,371,342
2014-12-15,371,342
2014-12-22,371,342
2014-12-29,376,354
2015-01-05,376,359
2015-01-12,376,359
2015-01-19,377,359
2015-01-26,377,359
2015-02-02,377,359
2015-02-09,378,360
2015-02-16,378,360
2015-02-23,379,360
2015-03-02,380,360
2015-03-09,384,361
2015-03-16,384,361
2015-03-23,388,362
2015-03-30,406,365
2015-04-06,408,365
2015-04-13,410,368
2015-04-20,411,368
2015-04-27,411,370
2015-05-04,411,370
2015-05-11,412,370
2015-05-18,412,370
2015-05-25,414,370
2015-06-01,415,370
2015-06-08,415,370
2015-06-15,415,370
2015-06-22,415,370
2015-06-29,415,370
2015-07-06,417,370
2015-07-13,419,371
2015-07-20,419,371
2015-07-27,419,371
2015-08-03,421,371
2015-08-10,423,371
2015-08-17,424,372
2015-08-24,424,372
2015-08-31,424,373
2015-09-07,425,373
2015-09-14,428,373
2015-09-21,429,374
2015-09-28,430,375
2015-10-05,431,375
2015-10-12,433,376
2015-10-19,434,377
2015-10-26,436,377
2015-11-02,436,377
2015-11-09,439,377
2015-11-16,439,377
2015-11-23,440,377
2015-11-30,443,377
2015-12-07,446,378
2015-12-14,449,379
2015-12-21,449,379
2015-12-28,449,379
2016-01-04,450,379
2016-01-11,451,379
2016-01-18,454,380
2016-01-25,459,382
2016-02-01,459,382
2016-02-08,460,383
2016-02-15,464,384
2016-02-22,466,384
2016-02-29,466,384
2016-03-07,470,386
2016-03-14,480,387
2016-03-21,490,391
2016-03-28,497,393
2016-04-04,500,395
2016-04-11,500,396
2016-04-18,501,396
2016-04-25,503,397
2016-05-02,503,398
2016-05-09,505,399
2016-05-16,507,399
2016-05-23,507,400
