week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,0,0
2010-08-16,0,0
2010-08-23,0,0
2010-08-30,0,0
2010-09-06,0,0
2010-09-13,0,0
2010-09-20,0,0
2010-09-27,0,0
2010-10-04,0,0
2010-10-11,0,0
2010-10-18,0,0
2010-10-25,0,0
2010-11-01,0,0
2010-11-08,0,0
2010-11-15,0,0
2010-11-22,0,0
2010-11-29,0,0
2010-12-06,0,0
2010-12-13,0,0
2010-12-20,0,0
2010-12-27,0,0
2011-01-03,0,0
2011-01-10,0,0
2011-01-17,0,0
2011-01-24,0,0
2011-01-31,0,0
2011-02-07,0,0
2011-02-14,0,0
2011-02-21,0,0
2011-02-28,0,0
2011-03-07,0,0
2011-03-14,0,0
2011-03-21,0,0
2011-03-28,0,0
2011-04-04,0,0
2011-04-11,0,0
2011-04-18,0,0
2011-04-25,0,0
2011-05-02,0,0
2011-05-09,0,0
2011-05-16,0,0
2011-05-23,0,0
2011-05-30,0,0
2011-06-06,0,0
2011-06-13,0,0
2011-06-20,0,0
2011-06-27,0,0
2011-07-04,0,0
2011-07-11,0,0
2011-07-18,0,0
2011-07-25,0,0
2011-08-01,0,0
2011-08-08,0,0
2011-08-15,0,0
2011-08-22,0,0
2011-08-29,0,0
2011-09-05,0,0
2011-09-12,0,0
2011-09-19,0,0
2011-09-26,0,0
2011-10-03,0,0
2011-10-10,0,0
2011-10-17,0,0
2011-10-24,0,0
2011-10-31,0,0
2011-11-07,0,0
2011-11-14,0,0
2011-11-21,0,0
2011-11-28,0,0
2011-12-05,0,0
2011-12-12,0,0
2011-12-19,0,0
2011-12-26,0,0
2012-01-02,0,0
2012-01-09,0,0
2012-01-16,0,0
2012-01-23,0,0
2012-01-30,0,0
2012-02-06,0,0
2012-02-13,0,0
2012-02-20,0,0
2012-02-27,0,0
2012-03-05,0,0
2012-03-12,0,0
2012-03-19,0,0
2012-03-26,0,0
2012-04-02,0,0
2012-04-09,0,0
2012-04-16,0,0
2012-04-23,0,0
2012-04-30,0,0
2012-05-07,0,0
2012-05-14,0,0
2012-05-21,0,0
2012-05-28,0,0
2012-06-04,0,0
2012-06-11,0,0
2012-06-18,0,0
2012-06-25,0,0
2012-07-02,0,0
2012-07-09,0,0
2012-07-16,0,0
2012-07-23,0,0
2012-07-30,0,0
2012-08-06,0,0
2012-08-13,0,0
2012-08-20,0,0
2012-08-27,0,0
2012-09-03,0,0
2012-09-10,0,0
2012-09-17,0,0
2012-09-24,0,0
2012-10-01,0,0
2012-10-08,0,0
2012-10-15,0,0
2012-10-22,0,0
2012-10-29,0,0
2012-11-05,0,0
2012-11-12,0,0
2012-11-19,0,0
2012-11-26,0,0
2012-12-03,0,0
2012-12-10,0,0
2012-12-17,0,0
2012-12-24,0,0
2012-12-31,0,0
2013-01-07,0,0
2013-01-14,0,0
2013-01-21,1,0
2013-01-28,1,0
2013-02-04,1,0
2013-02-11,1,0
2013-02-18,1,0
2013-02-25,1,0
2013-03-04,1,0
2013-03-11,1,0
2013-03-18,2,0
2013-03-25,2,0
2013-04-01,2,0
2013-04-08,3,0
2013-04-15,3,0
2013-04-22,4,0
2013-04-29,4,0
2013-05-06,4,0
2013-05-13,4,0
2013-05-20,4,0
2013-05-27,4,0
2013-06-03,4,0
2013-06-10,4,0
2013-06-17,5,0
2013-06-24,5,0
2013-07-01,5,1
2013-07-08,5,1
2013-07-15,5,2
2013-07-22,5,2
2013-07-29,7,2
2013-08-05,7,2
2013-08-12,8,2
2013-08-19,8,2
2013-08-26,8,2
2013-09-02,8,3
2013-09-09,8,3
2013-09-16,8,3
2013-09-23,8,3
2013-09-30,9,3
2013-10-07,9,3
2013-10-14,9,3
2013-10-21,9,4
2013-10-28,9,4
2013-11-04,10,5
2013-11-11,10,5
2013-11-18,11,5
2013-11-25,11,5
2013-12-02,11,5
2013-12-09,11,5
2013-12-16,11,5
2013-12-23,11,5
2013-12-30,11,5
2014-01-06,11,5
2014-01-13,11,5
2014-01-20,11,5
2014-01-27,11,5
2014-02-03,11,5
2014-02-10,11,5
2014-02-17,11,5
2014-02-24,11,5
2014-03-03,11,5
2014-03-10,11,5
2014-03-17,12,5
2014-03-24,13,5
2014-03-31,13,5
2014-04-07,14,5
2014-04-14,14,5
2014-04-21,14,5
2014-04-28,17,6
2014-05-05,17,6
2014-05-12,17,6
2014-05-19,17,6
2014-05-26,17,6
2014-06-02,17,6
2014-06-09,17,6
2014-06-16,17,6
2014-06-23,17,6
2014-06-30,19,6
2014-07-07,19,6
2014-07-14,19,6
2014-07-21,19,6
2014-07-28,19,6
2014-08-04,19,6
2014-08-11,19,6
2014-08-18,19,6
2014-08-25,19,6
2014-09-01,19,6
2014-09-08,19,6
2014-09-15,19,6
2014-09-22,19,6
2014-09-29,19,6
2014-10-06,20,6
2014-10-13,20,6
2014-10-20,20,6
2014-10-27,20,7
2014-11-03,20,7
2014-11-10,20,7
2014-11-17,20,7
2014-11-24,20,7
2014-12-01,20,7
2014-12-08,20,7
2014-12-15,20,7
2014-12-22,20,7
2014-12-29,20,7
2015-01-05,20,7
2015-01-12,20,7
2015-01-19,21,7
2015-01-26,21,7
2015-02-02,21,7
2015-02-09,21,7
2015-02-16,21,7
2015-02-23,21,7
2015-03-02,21,7
2015-03-09,21,7
2015-03-16,22,7
2015-03-23,22,7
2015-03-30,22,7
2015-04-06,22,7
2015-04-13,22,7
2015-04-20,22,7
2015-04-27,22,7
2015-05-04,22,7
2015-05-11,22,7
2015-05-18,22,7
2015-05-25,22,7
2015-06-01,22,8
2015-06-08,22,8
2015-06-15,22,8
2015-06-22,22,8
2015-06-29,22,8
2015-07-06,22,8
2015-07-13,22,8
2015-07-20,22,8
2015-07-27,22,8
2015-08-03,22,8
2015-08-10,23,8
2015-08-17,24,8
2015-08-24,24,8
2015-08-31,24,8
2015-09-07,26,9
2015-09-14,27,10
2015-09-21,27,10
2015-09-28,27,10
2015-10-05,27,10
2015-10-12,27,10
2015-10-19,27,10
2015-10-26,27,10
2015-11-02,28,12
2015-11-09,28,12
2015-11-16,28,12
2015-11-23,28,12
2015-11-30,29,12
2015-12-07,29,12
2015-12-14,29,12
2015-12-21,29,12
2015-12-28,29,12
2016-01-04,29,12
2016-01-11,29,12
2016-01-18,29,12
2016-01-25,29,12
2016-02-01,29,12
2016-02-08,29,12
2016-02-15,30,12
2016-02-22,30,12
2016-02-29,30,12
2016-03-07,30,12
2016-03-14,30,12
2016-03-21,30,12
2016-03-28,30,12
2016-04-04,30,12
2016-04-11,30,12
2016-04-18,30,12
2016-04-25,30,12
2016-05-02,30,12
2016-05-09,31,12
2016-05-16,31,12
2016-05-23,31,12
